baths,beds,city,latitude,longitude,price,sale_date,sq__ft,state,street,type,zip,n_price,s_price,n_sq__ft,s_sq__ft
1,2,SACRAMENTO,38.631913,-121.434879,59222.0,Wed May 21 00:00:00 EDT 2008,836,CA,3526 HIGH ST,Residential,95838,0.06529489753056647,-1.2656189010768173,0.14359326691858468,-0.5614181325355728
1,3,SACRAMENTO,38.47890200000001,-121.431028,68212.0,Wed May 21 00:00:00 EDT 2008,1167,CA,51 OMAHA CT,Residential,95823,0.07547334300229043,-1.2006632293269237,0.20044658193060805,-0.17339787353050962
1,2,SACRAMENTO,38.618305,-121.44383899999998,68880.0,Wed May 21 00:00:00 EDT 2008,796,CA,2796 BRANCH ST,Residential,95815,0.07622965018528394,-1.1958367122269316,0.136722775678461,-0.608308798276366
1,2,SACRAMENTO,38.616835,-121.439146,69307.0,Wed May 21 00:00:00 EDT 2008,852,CA,2805 JANETTE WAY,Residential,95815,0.07671309804028129,-1.1927514984519365,0.14634146341463414,-0.5426618662392556
1,2,SACRAMENTO,38.51947,-121.435768,81900.0,Wed May 21 00:00:00 EDT 2008,797,CA,6001 MCMAHON DR,Residential,95824,0.09097084707536691,-1.1017629807270857,0.1368945379594641,-0.6071365316328461
1,3,SACRAMENTO,38.662595,-121.327813,89921.0,Wed May 21 00:00:00 EDT 2008,1122,CA,5828 PEPPERMILL CT,Condo,95841,0.1000521942531976,-1.0438086489021807,0.19271727928546892,-0.2261498724889019
2,3,SACRAMENTO,38.681659,-121.351705,90895.0,Wed May 21 00:00:00 EDT 2008,1104,CA,6048 OGDEN NASH WAY,Residential,95842,0.10115495352899952,-1.0367711823521921,0.18962555822741325,-0.24725067207225881
1,3,SACRAMENTO,38.535092,-121.481367,91002.0,Wed May 21 00:00:00 EDT 2008,1177,CA,2561 19TH AVE,Residential,95820,0.10127609854184429,-1.0359980725771936,0.20216420474063895,-0.16167520709531133
2,2,RANCHO CORDOVA,38.621188,-121.270555,94905.0,Wed May 21 00:00:00 EDT 2008,941,CA,11150 TRINITY RIVER DR Unit 114,Condo,95670,0.105695061019724,-1.0077976291022397,0.1616283064239093,-0.4383301349659908
2,3,RIO LINDA,38.700909,-121.442979,98937.0,Wed May 21 00:00:00 EDT 2008,1146,CA,7325 10TH ST,Residential,95673,0.11026007683084646,-0.9786651187022875,0.1968395740295431,-0.19801547304442602
2,3,SACRAMENTO,38.637663,-121.45152,100309.0,Wed May 21 00:00:00 EDT 2008,909,CA,645 MORRISON AVE,Residential,95838,0.11181345026657563,-0.9687519728023036,0.15613191343181038,-0.47584266755862537
2,3,SACRAMENTO,38.47074600000001,-121.458918,106250.0,Wed May 21 00:00:00 EDT 2008,1289,CA,4085 FAWN CIR,Residential,95823,0.11853982897041458,-0.925826316977374,0.22140158021298523,-0.030381343021090565
1,1,SACRAMENTO,38.618698,-121.435833,106852.0,Wed May 21 00:00:00 EDT 2008,871,CA,2930 LA ROSA RD,Residential,95815,0.1192214111922141,-0.9214766713273811,0.1496049467536929,-0.5203888000123789
1,3,SACRAMENTO,38.482215,-121.492603,107502.0,Wed May 21 00:00:00 EDT 2008,1020,CA,2113 KIRK WAY,Residential,95822,0.11995733884033653,-0.9167802100773889,0.17519752662315355,-0.3457210701279244
2,2,SACRAMENTO,38.672914,-121.35934,,Wed May 21 00:00:00 EDT 2008,1022,CA,4533 LOCH HAVEN WAY,Residential,95842,,,0.17554105118515975,-0.34337653684088476
2,2,SACRAMENTO,38.700051,-121.351278,110700.0,Wed May 21 00:00:00 EDT 2008,1134,CA,7340 HAMDEN PL,Condo,95842,0.12357810286909886,-0.8936736207274267,0.194778426657506,-0.21208267276666395
